xval,cpu,mem
215,2.3,76.5
450,3.6,76.5
216,3.6,76.5
451,2.4,76.4
217,2.2,76.4
452,4.0,76.4
218,4.8,76.4
453,3.0,76.4
219,3.2,76.5
454,3.9,76.4
220,3.0,76.5
455,1.8,76.5
221,2.7,76.5
456,5.6,76.7
222,5.3,76.7
457,3.5,76.7
223,4.5,76.7
458,7.0,76.9
224,6.2,76.9
459,5.8,77.0
225,6.7,76.9
460,8.1,77.0
226,7.1,77.0
461,5.2,77.0
227,5.9,77.0
462,5.6,77.0
228,5.9,77.1
463,3.4,77.1
229,4.5,77.1
464,5.0,77.1
230,3.1,77.1
465,3.8,77.1
231,3.0,77.0
466,2.0,77.1
232,2.8,77.1
467,2.4,77.0
233,2.9,77.0
468,4.4,77.0
234,3.8,77.0
469,2.7,77.0
235,2.9,77.0
470,3.0,77.0
236,3.3,77.0
471,2.7,77.0
237,1.8,77.0
472,2.5,77.0
238,3.4,77.0
473,3.7,77.0
239,2.9,77.0
474,3.6,77.0
240,4.1,77.0
475,3.4,77.0
241,3.0,77.0
476,3.0,77.0
242,3.6,77.0
477,3.6,76.9
243,2.6,76.9
478,4.2,76.9
244,4.9,77.0
479,4.6,76.8
245,4.0,76.8
480,2.9,76.9
246,4.0,76.8
481,5.1,76.8
247,3.9,76.8
482,3.5,76.9
248,4.5,76.9
483,4.7,76.9
249,4.5,76.9
484,3.0,76.8
250,3.9,76.9
485,5.5,76.9
251,4.1,76.9
486,4.6,76.8
252,5.8,77.0
487,5.6,76.9
253,4.3,76.7
488,3.0,76.7
254,3.3,76.8
489,3.6,76.9
255,3.5,77.0
490,7.1,77.3
256,8.8,77.3
491,4.6,77.2
257,3.2,77.2
492,3.0,77.2
258,4.2,77.3
493,5.1,77.6
259,4.0,77.7
494,5.7,77.5
260,5.3,77.5
495,1.7,77.2
261,1.0,77.2
496,1.5,77.2
262,2.0,77.2
497,3.2,77.2
263,3.8,77.2
498,1.7,77.2
264,1.2,77.3
499,3.7,77.2
265,3.0,77.2
500,0.8,77.3
266,1.9,77.3
501,3.1,77.3
267,2.4,77.3
502,2.1,77.3
268,2.4,77.3
503,3.1,77.3
269,3.6,77.3
504,4.1,77.3
270,3.7,77.3
505,3.6,77.2
271,3.3,77.2
506,5.9,76.9
272,5.8,77.0
507,1.4,76.9
273,1.4,76.9
508,2.3,77.0
274,3.1,77.0
509,3.6,77.0
275,2.9,77.0
510,3.2,77.0
276,2.9,77.0
511,3.6,76.9
277,3.8,76.9
512,4.6,76.7
278,9.1,76.8
513,7.7,76.7
279,2.5,76.7
514,3.8,76.9
280,3.8,77.0
515,4.4,76.9
281,5.2,76.7
516,1.7,76.7
282,3.3,76.6
517,4.8,76.5
283,3.0,76.5
518,1.7,76.6
284,1.3,76.6
519,7.4,76.6
285,7.6,76.5
520,2.8,76.6
286,3.5,76.6
521,4.3,76.5
287,3.9,76.5
522,4.2,76.5
288,5.2,76.4
523,7.5,76.4
289,6.8,76.4
524,2.3,76.4
290,2.2,76.4
525,3.7,76.4
291,4.0,76.4
526,2.1,76.4
292,2.0,76.4
527,2.6,76.3
293,2.1,76.3
528,2.3,76.3
294,2.4,76.3
529,2.7,76.3
295,2.8,76.3
530,2.5,76.3
296,2.7,76.2
531,3.9,76.2
297,3.8,76.2
532,2.7,76.3
298,2.4,76.3
533,3.2,76.3
299,3.1,76.3
534,2.8,76.3
300,3.3,76.3
535,4.6,76.3
301,6.8,76.3
536,6.1,76.3
302,5.0,76.4
537,5.0,76.3
303,4.3,76.4
538,5.6,76.3
304,4.7,76.3
539,5.3,76.3
305,6.1,76.4
540,4.4,76.4
306,4.7,76.4
541,4.3,76.4
307,4.4,76.5
542,4.3,76.5
308,3.7,76.5
543,4.5,76.6
309,4.0,76.5
544,1.8,76.6
310,1.1,76.6
545,2.0,76.6
311,2.4,76.6
546,1.9,76.6
312,2.5,76.6
547,3.0,76.6
313,2.6,76.5
548,4.3,76.5
314,4.7,76.5
549,4.5,76.5
315,4.4,76.4
550,2.9,76.5
316,1.9,76.4
551,4.0,76.5
317,5.2,76.4
552,2.8,76.4
318,2.3,76.4
553,3.3,76.5
319,3.5,76.4
554,3.9,76.5
320,3.9,76.5
555,1.7,76.5
321,1.5,76.5
556,4.1,76.6
322,4.3,76.6
557,2.8,76.5
323,2.8,76.5
558,3.6,76.5
324,2.7,76.5
559,2.0,76.5
325,2.9,76.4
560,3.7,76.4
